Year,"Header","Source","URL"
2017,"населения России в условиях меняющегося климата","demoscope.ru›weekly/2010/0439/analit01.php","http://www.demoscope.ru/weekly/2010/0439/analit01.php"
2017,"Изменение климата: что ждет Россию","ria.ru›warming_prognosis/20130924/964750728.html","http://ria.ru/warming_prognosis/20130924/964750728.html"
2017,"Изменения климата в России – чем они грозят здоровью","meteoinfo.ru›meteo-med-revithc","http://meteoinfo.ru/meteo-med-revithc"
2017,"Природоохранная стратегия","wwf.ru›data/membership/mailer/draft_conservation…","http://www.wwf.ru/data/membership/mailer/draft_conservation_strategy_rus.pdf"
2017,"Прогноз изменений климата и геополитиеских последствий","ecoteco.ru›library/magazine…klimata-i…posledstviy…","http://www.ecoteco.ru/library/magazine/zhurnal-111/ekologiya/prognoz-izmeneniy-klimata-i-geopolitieskih-posledstviy-ego-izmeneniya-do-2020-goda/"
2017,"Стратегия всемирного фонда дикой природы","wwf.su›data/wwf/wwfrussia_strategy_rus.pdf","http://www.wwf.su/data/wwf/wwfrussia_strategy_rus.pdf"
2017,"Ученые считают изменение климата главной мировой","volg.mk.ru›articles/2016/03/02…izmenenie-klimata…","http://volg.mk.ru/articles/2016/03/02/uchenye-schitayut-izmenenie-klimata-glavnoy-mirovoy-ugrozoy-v-2016-godu.html"
2017,"В феврале 2017 года президентом России станет Навальный","gklimov.livejournal.com›305630.html","http://gklimov.livejournal.com/305630.html"
2017,"ученый предсказывает похолодание климата с 2017 года","newsmake.net›weather…avstralijskij…klimata-s-2017…","http://newsmake.net/weather-and-nature/avstralijskij-uchenyj-predskazyvaet-poxolodanie-klimata-s-2017-goda"
2017,"Чем грозит России изменение климата?","rosnauka.ru›Публикации›844","http://rosnauka.ru/publication/844"
2017,"Климат на выставке Мир Климата","climatexpo.ru","http://yabs.yandex.ru/count/PDG-xXvNMrW40000gQB0022Ek51qRGLIbGAR0Mv3jm8j0OYtoFFH1ecgxje3dgfCwW6TdNO7feO8YhVuXuG3lReB_ge3gYwbg61h1hokTsa6ZG6HiL7f0GQNy3Z14oO_h2e3Zxf20hiAdxfkU8iCauKDcGL2Z9rx3BQSlWErc2m3e9Lf9g-TUmopaCG9j9Wi0zcLQIRQaCG9b9PyQwUVG06ek_g8jWEZ0Qxiwi2_dfHbrx41ig0H00AvdNO7mOmImldFYbMiYA-l1iMF3zB__________m_J__________yFVHe0?q=%D0%B8%D0%B7%D0%BC%D0%B5%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5+%D0%BA%D0%BB%D0%B8%D0%BC%D0%B0%D1%82%D0%B0+%D0%B2+%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B8+2017"
